ManufacturerName,Transmission,Colour,EngineFuel,EngineHasGas,EngineType,BodyType,ModelName
Nissan,mechanical,red,gasoline,FALSE,gasoline,cabriolet,100NX
Nissan,mechanical,red,gasoline,FALSE,gasoline,coupe,100NX
Nissan,mechanical,black,gasoline,FALSE,gasoline,coupe,100NX
Nissan,mechanical,red,gasoline,FALSE,gasoline,sedan,100NX
Rover,mechanical,silver,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,red,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,blue,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,blue,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,silver,diesel,FALSE,diesel,hatchback,200-Series
Rover,mechanical,green,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,red,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,blue,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,green,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,green,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,red,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,violet,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,silver,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,green,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,grey,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,black,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,green,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,silver,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,blue,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,silver,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,red,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,violet,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,red,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,silver,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,red,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,silver,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,silver,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,grey,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,silver,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,blue,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,blue,diesel,FALSE,diesel,hatchback,200-Series
Rover,mechanical,grey,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,violet,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,green,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,green,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,blue,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,red,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,silver,diesel,FALSE,diesel,hatchback,200-Series
Rover,mechanical,silver,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,green,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,green,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,grey,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,black,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,red,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,white,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,green,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,red,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,black,gasoline,FALSE,gasoline,hatchback,200-Series
Rover,mechanical,green,gasoline,FALSE,gasoline,hatchback,200-Series
