cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
Convex,Smooth,Brown,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,Poisonous
Convex,Smooth,Yellow,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Bell,Smooth,White,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Convex,Scaly,White,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,Poisonous
Convex,Smooth,Gray,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Scaly,Yellow,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,Edible
Bell,Smooth,White,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Bell,Scaly,White,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Convex,Scaly,White,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,Poisonous
Bell,Smooth,Yellow,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Convex,Scaly,Yellow,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Convex,Scaly,Yellow,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Bell,Smooth,Yellow,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Convex,Scaly,White,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,Poisonous
Convex,Fibrous,Brown,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,Edible
Sunken,Fibrous,Gray,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,Edible
Flat,Fibrous,White,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Smooth,Brown,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,Poisonous
Convex,Scaly,White,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u,Poisonous
Convex,Smooth,Brown,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,Poisonous
